food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,image
beef pancreas cooked,602.0,38.2,13.1,13.2,7.1,0.0,0.0,60.2,0.0,581.6,0.1,123.4,0.0,0.4,0.093,0.052,1.1,8.8,9.4,0.4,45.1,0.0,0.0,0.0,35.5,0.2,5.8,46.6,0.5,1005.7,546.1,0.1,10.2,184.8,0
beef tripe cooked,80.0,3.4,1.2,1.4,0.2,1.7,0.0,10.0,0.0,133.5,0.045,69.4,0.0,0.0,0.038,0.053,0.0,0.4,0.089,0.0,0.0,0.0,0.1,0.0,68.9,0.0,0.6,12.8,0.041,56.1,35.7,0.01,1.5,84.6,0
chicken gizzard cooked,223.0,3.9,1.0,0.8,0.5,0.0,0.0,44.1,0.0,536.5,0.069,98.5,0.0,0.094,0.074,0.095,0.3,4.5,0.7,0.1,0.0,0.0,0.3,0.0,24.7,0.2,4.6,4.4,0.1,274.1,259.6,0.047,6.4,77.3,0
pork pancreas cooked,537.0,26.5,9.1,9.2,5.0,0.0,0.0,69.8,0.0,771.8,0.1,147.7,0.0,0.2,0.086,0.058,1.6,7.9,11.6,1.1,14.0,0.0,0.0,0.0,39.2,0.3,6.6,56.4,0.5,713.0,411.6,0.2,10.5,156.1,0
beef tongue cooked,80.0,6.3,2.3,2.9,0.2,0.0,0.0,5.5,0.0,37.4,0.029,16.4,0.0,0.042,0.007,0.072,0.025,1.0,0.2,0.067,0.4,0.067,0.074,0.049,1.4,0.048,0.7,4.2,0.03,41.0,52.1,0.065,1.2,14.3,0
lamb heart cooked,353.0,15.1,6.0,4.2,1.5,3.7,0.0,47.7,0.0,475.6,0.1,122.6,0.0,0.3,0.006,0.051,2.3,8.3,2.6,0.6,13.4,0.0,0.0,0.0,26.7,1.2,10.5,45.8,0.1,485.1,359.1,0.04,7.0,117.1,0
beef spleen cooked,447.0,12.9,4.3,3.4,1.0,0.0,0.0,77.3,0.0,1068.8,0.2,215.5,0.0,0.1,0.035,0.06,0.9,17.1,2.7,0.1,154.9,0.0,0.0,0.0,37.0,2.8,121.2,58.5,0.2,939.4,874.7,0.3,8.6,403.3,0
lamb tongue cooked,701.0,51.7,20.0,25.5,3.2,0.0,0.0,55.0,0.0,482.0,0.2,147.5,0.0,0.2,0.082,0.027,1.1,9.4,0.9,0.4,17.9,0.0,0.0,0.0,25.5,0.5,6.7,40.8,0.076,341.7,402.9,0.072,7.6,156.8,0
veal heart cooked,368.0,13.4,3.6,2.8,3.5,0.3,0.0,57.7,0.0,348.5,0.1,123.1,0.0,0.7,0.029,0.048,1.8,9.7,3.3,0.4,19.8,0.0,0.0,0.0,15.8,0.9,8.6,35.6,0.1,495.0,394.0,0.1,4.4,115.6,0
lamb pancreas cooked,541.0,34.9,15.8,12.6,1.7,0.0,0.0,52.7,0.0,924.0,0.1,137.8,0.0,0.022,0.089,0.026,0.5,5.9,2.0,0.1,46.2,0.0,0.0,0.0,27.7,0.2,4.9,43.9,0.049,995.6,672.2,0.1,6.2,166.4,0
veal spleen cooked,445.0,10.0,3.3,2.7,0.7,0.0,0.0,83.1,0.0,1542.2,0.2,245.8,0.0,0.2,0.022,0.051,1.0,18.4,0.0,0.2,138.0,0.0,0.0,0.0,24.2,3.2,25.4,48.3,0.3,1076.4,741.8,0.3,6.6,280.7,0
lamp spleen cooked,460.0,14.1,4.7,3.7,1.0,0.0,0.0,78.1,0.0,1135.8,0.2,195.8,0.0,0.2,0.062,0.028,0.9,17.3,0.0,0.2,76.7,0.0,0.0,0.0,38.4,0.4,114.1,62.0,0.2,1006.0,731.6,0.1,11.6,321.4,0
pork brain cooked,527.0,36.3,8.2,6.6,5.6,0.0,0.0,46.4,0.0,9748.6,0.3,289.9,0.0,0.3,0.063,0.031,0.9,12.7,7.0,0.5,53.5,0.0,0.0,0.0,34.4,1.0,7.0,45.8,0.3,840.4,744.9,0.003,5.7,177.6,0
lamb brain cooked,503.0,35.3,9.0,6.4,3.6,0.0,0.0,43.5,0.0,7089.2,0.5,262.8,0.0,0.4,0.007,0.088,0.8,8.6,3.4,0.4,41.6,0.0,0.0,0.0,41.6,0.7,5.8,48.6,0.2,1169.4,711.4,0.066,4.7,167.8,0
veal pancreas cooked,614.0,35.0,12.0,12.1,6.5,0.0,0.0,69.8,0.0,0.0,0.2,133.7,0.0,0.4,0.068,0.082,1.2,10.0,0.0,0.5,14.4,0.0,0.0,0.0,43.2,0.2,5.7,57.6,0.6,1228.8,667.2,0.098,12.5,168.1,0
beef kidneys cooked,45.0,1.3,0.3,0.2,0.2,0.0,0.0,7.7,0.0,202.6,0.029,18.9,0.0,0.001,0.073,0.013,0.8,1.1,0.4,0.1,0.0,0.095,0.099,0.0,5.4,0.2,1.6,3.4,0.007,86.0,38.2,0.049,0.8,16.0,0
pork lungs cooked,297.0,9.3,3.3,2.1,1.1,0.0,0.0,49.8,0.0,1161.0,0.2,240.0,0.0,0.2,0.069,0.049,1.0,4.1,2.0,0.2,23.7,0.0,0.0,0.0,24.0,0.2,49.2,36.0,0.029,558.0,453.0,0.085,7.4,156.0,0
veal lungs cooked,312.0,7.9,2.7,2.0,1.1,0.0,0.0,56.2,0.0,789.0,0.2,232.8,0.0,0.072,0.032,0.016,0.4,6.9,0.0,0.2,102.0,0.0,0.0,0.0,21.0,0.7,10.8,24.0,0.082,696.0,426.0,0.067,3.6,197.9,0
beef thymus cooked,1215.0,95.2,32.8,32.9,17.8,0.0,0.0,83.2,0.0,1120.1,0.4,201.3,0.0,0.3,0.058,0.092,0.9,7.0,7.5,0.3,115.1,0.0,0.0,0.0,38.1,0.2,5.7,38.1,0.4,1386.8,1649.7,0.029,8.4,337.3,0
ham,46.0,2.5,0.1,1.2,0.2,1.0,0.3,4.6,0.4,16.0,0.2,18.8,0.0,0.2,0.079,0.074,0.094,0.8,0.1,0.041,1.1,0.08,0.076,0.0,6.7,0.002,0.3,6.2,0.2,42.8,80.4,0.063,0.4,16.6,0
bacon roasted,43.0,3.3,1.1,1.5,0.4,0.1,0.0,3.0,0.0,8.8,0.034,1.0,0.0,0.037,0.05,0.007,0.081,0.015,0.9,0.051,0.09,0.0,0.002,0.039,0.097,0.9,0.096,0.1,2.6,0.003,42.6,45.2,0.09,6.516,0
pork blade roll raw,76.0,6.2,2.2,2.8,0.7,0.0,0.0,4.7,0.0,15.0,0.4,16.7,0.0,0.2,0.076,0.08,0.089,0.8,0.2,0.097,0.014,0.0,0.0,0.0,2.0,0.084,0.2,3.7,0.042,56.3,83.5,0.078,0.7,13.143,0
pork stomach cooked,44.0,2.1,0.8,0.6,0.2,0.029,0.0,6.1,0.0,89.4,0.035,20.0,0.0,0.08,0.09,0.067,0.05,0.4,0.2,0.038,0.0,0.0,0.087,0.0,4.2,0.048,0.3,4.2,0.015,36.5,24.1,0.077,0.8,12.779,0
honey smoked ham cooked,67.0,1.3,0.6,0.9,0.2,4.0,0.0,9.9,0.0,12.1,0.5,38.5,0.0,0.2,0.013,0.091,0.097,1.3,0.1,0.1,0.3,0.0,0.0,0.0,3.3,0.039,0.2,4.4,0.096,211.2,90.8,0.099,0.5,19.0,0
ham patties,205.0,18.3,6.6,8.6,2.0,1.1,0.0,8.3,0.0,45.5,0.7,35.4,0.0,0.3,0.061,0.084,0.1,2.0,0.2,0.1,0.0,0.0,0.0,0.0,5.2,0.039,0.7,6.5,0.064,96.9,155.4,0.075,1.0,33.6,0
pork feet cooked,67.0,4.5,1.2,2.3,0.4,0.0,0.0,6.2,0.0,30.3,0.046,17.8,0.0,0.08,0.014,0.048,0.029,0.2,0.047,0.081,0.0,0.0,0.054,0.0,0.0,0.014,0.3,1.4,0.017,23.2,9.3,0.04,0.3,11.0,0
