retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
0103,01,"EGGS,FRIED,SCRAMBLED",418,Vitamin B-12,0.85
0103,01,"EGGS,FRIED,SCRAMBLED",318,"Vitamin A, IU",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",392,"Vitamin A, RE",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",221,"Alcohol, ethyl",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",321,"Carotene, beta",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",322,"Carotene, alpha",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",334,"Cryptoxanthin, beta",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",337,Lycopene,1.0
0103,01,"EGGS,FRIED,SCRAMBLED",338,Lutein + zeaxanthin,1.0
0105,01,"EGGS,HARD COOKED",301,"Calcium, Ca",1.0
0105,01,"EGGS,HARD COOKED",303,"Iron, Fe",1.0
0105,01,"EGGS,HARD COOKED",304,"Magnesium, Mg",1.0
0105,01,"EGGS,HARD COOKED",305,"Phosphorus, P",1.0
0105,01,"EGGS,HARD COOKED",306,"Potassium, K",1.0
0105,01,"EGGS,HARD COOKED",307,"Sodium, Na",1.0
0105,01,"EGGS,HARD COOKED",309,"Zinc, Zn",1.0
0105,01,"EGGS,HARD COOKED",312,"Copper, Cu",1.0
0105,01,"EGGS,HARD COOKED",401,"Vitamin C, total ascorbic acid",0.8
0105,01,"EGGS,HARD COOKED",404,Thiamin,0.85
0105,01,"EGGS,HARD COOKED",405,Riboflavin,0.95
0105,01,"EGGS,HARD COOKED",406,Niacin,0.95
0105,01,"EGGS,HARD COOKED",415,Vitamin B-6,0.95
0105,01,"EGGS,HARD COOKED",417,"Folate, total",0.75
0105,01,"EGGS,HARD COOKED",431,Folic acid,0.75
0105,01,"EGGS,HARD COOKED",432,"Folate, food",0.75
0105,01,"EGGS,HARD COOKED",421,"Choline, total",0.8
0105,01,"EGGS,HARD COOKED",418,Vitamin B-12,0.85
0105,01,"EGGS,HARD COOKED",318,"Vitamin A, IU",1.0
0105,01,"EGGS,HARD COOKED",392,"Vitamin A, RE",1.0
0105,01,"EGGS,HARD COOKED",221,"Alcohol, ethyl",1.0
0105,01,"EGGS,HARD COOKED",321,"Carotene, beta",1.0
0105,01,"EGGS,HARD COOKED",322,"Carotene, alpha",1.0
0105,01,"EGGS,HARD COOKED",334,"Cryptoxanthin, beta",1.0
0105,01,"EGGS,HARD COOKED",337,Lycopene,1.0
0105,01,"EGGS,HARD COOKED",338,Lutein + zeaxanthin,1.0
0107,01,"EGGS,POACHED",301,"Calcium, Ca",1.0
0107,01,"EGGS,POACHED",303,"Iron, Fe",1.0
0107,01,"EGGS,POACHED",304,"Magnesium, Mg",1.0
0107,01,"EGGS,POACHED",305,"Phosphorus, P",1.0
0107,01,"EGGS,POACHED",306,"Potassium, K",1.0
0107,01,"EGGS,POACHED",307,"Sodium, Na",1.0
0107,01,"EGGS,POACHED",309,"Zinc, Zn",1.0
0107,01,"EGGS,POACHED",312,"Copper, Cu",1.0
0107,01,"EGGS,POACHED",401,"Vitamin C, total ascorbic acid",0.8
0107,01,"EGGS,POACHED",404,Thiamin,0.8
0107,01,"EGGS,POACHED",405,Riboflavin,0.85
0107,01,"EGGS,POACHED",406,Niacin,0.85
0107,01,"EGGS,POACHED",415,Vitamin B-6,0.85
0107,01,"EGGS,POACHED",417,"Folate, total",0.75
0107,01,"EGGS,POACHED",431,Folic acid,0.75
0107,01,"EGGS,POACHED",432,"Folate, food",0.75
0107,01,"EGGS,POACHED",421,"Choline, total",0.8
0107,01,"EGGS,POACHED",418,Vitamin B-12,0.8
0107,01,"EGGS,POACHED",318,"Vitamin A, IU",1.0
0107,01,"EGGS,POACHED",392,"Vitamin A, RE",1.0
0107,01,"EGGS,POACHED",221,"Alcohol, ethyl",1.0
0107,01,"EGGS,POACHED",321,"Carotene, beta",1.0
0107,01,"EGGS,POACHED",322,"Carotene, alpha",1.0
0107,01,"EGGS,POACHED",334,"Cryptoxanthin, beta",1.0
0107,01,"EGGS,POACHED",337,Lycopene,1.0
0107,01,"EGGS,POACHED",338,Lutein + zeaxanthin,1.0
0109,01,"EGGS,REHEATED",301,"Calcium, Ca",1.0
0109,01,"EGGS,REHEATED",303,"Iron, Fe",1.0
0109,01,"EGGS,REHEATED",304,"Magnesium, Mg",1.0
0109,01,"EGGS,REHEATED",305,"Phosphorus, P",1.0
